year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,67,16,3,1,3,3,1,3,152908.1861,2267,1,2.48040951,1,60,0
2010,64,18,4,2,1,1,1,3,96348,2267,1,2.109267291,1,60,0
2010,80,20,4,1,1,6,2,,152908.1861,2267,2,0.975783385,1,80,
2010,52,13,1,1,1,3,1,,96348,2267,2,2.992966094,1,50,
2010,29,16,3,2,3,0,1,,44159.5,2268,1,0.806590429,1,18,
2010,24,14,1,1,2,3,2,1,,2268,1,1.929255605,1,18,0
2010,42,20,4,2,2,0,2,,80290,2268,2,0.55766761,1,40,
2010,89,17,4,2,2,0,2,5,,2268,2,0.31817649,1,80,1
2010,61,2,0,2,2,0,2,2,,2268,2,0.529558042,1,60,0
2010,35,12,1,1,2,0,1,,26094.25,2269,1,0.37088804,1,30,
2010,44,12,1,1,2,0,2,3,36130.5,2269,1,0.70697167,1,40,0
2010,60,13,1,2,2,0,2,3,66239.25,2269,1,1.450962525,1,60,0
2010,28,14,1,1,2,2,2,5,401.45,2269,1,0.778642769,1,18,1
2010,27,16,3,1,1,1,1,,13047.125,2269,2,0.449557066,1,18,
2010,38,17,3,1,1,1,1,3,112406,2269,2,1.462071927,1,30,0
2010,34,16,3,2,1,2,2,3,26094.25,2269,2,0.573421927,1,30,0
2010,18,11,0,2,3,2,1,1,3613.05,2270,1,1.065285631,1,18,0
2010,35,5,0,2,1,3,2,,401.45,2270,1,0.541639414,1,30,
2010,29,12,1,2,3,3,1,2,11039.875,2270,1,2.832222204,1,18,0
2010,32,6,0,2,1,3,2,1,6021.75,2270,1,1.229922955,1,30,0
2010,63,18,4,2,2,0,2,3,,2270,2,0.289164096,1,60,0
2010,80,12,1,2,2,0,2,5,9032.625,2270,2,0.365512911,1,80,1
2010,52,16,4,1,3,6,1,3,26094.25,2271,1,0.422609697,1,50,0
2010,25,16,3,2,1,0,2,,36130.5,2271,1,1.485011842,1,18,
2010,70,12,1,2,1,7,1,,44159.5,2271,2,0.440779351,1,70,
2010,35,20,4,1,3,2,1,2,152908.1861,2271,2,0.551735139,1,30,0
2010,41,17,3,2,1,0,2,2,152908.1861,2272,1,0.467367153,1,40,0
2010,24,17,3,2,2,0,1,,17061.625,2272,1,0.326388241,1,18,
2010,60,17,3,1,1,2,2,3,152908.1861,2272,1,0.626895405,1,60,0
2010,55,12,1,1,1,2,2,,66239.25,2272,2,0.457540274,1,50,
2010,23,14,1,1,1,5,2,5,80290,2272,2,3.78354324,1,18,1
